"filename", "language", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Feature Engineering/FeatureSelection/components/SelectKBest.jsx", "JavaScript JSX", 0, -110, 0, -5, -115
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Feature Engineering/MergeDataset/MergeDataset.jsx", "JavaScript JSX", 0, -149, -1, -14, -164
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Feature Engineering/Scaling/Scaling.jsx", "JavaScript JSX", 0, -157, -1, -11, -169
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Model Building/BuildModel/BuildModel.jsx", "JavaScript JSX", 0, -63, -12, -11, -86
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Model Building/BuildModel/components/Categorical/DecisionTreeClassification.jsx", "JavaScript JSX", 0, -94, -1, -5, -100
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Model Building/BuildModel/components/Categorical/KNearestNeighbour.jsx", "JavaScript JSX", 0, -82, -1, -5, -88
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Model Building/BuildModel/components/Categorical/LogisticRegression.jsx", "JavaScript JSX", 0, -109, -1, -5, -115
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Model Building/BuildModel/components/Categorical/MultilayerPerceptron.jsx", "JavaScript JSX", 0, -111, -1, -6, -118
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Model Building/BuildModel/components/Categorical/RandomForestClassification.jsx", "JavaScript JSX", 0, -110, -1, -6, -117
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Model Building/BuildModel/components/Categorical/SupportVectorMachine.jsx", "JavaScript JSX", 0, -100, -1, -5, -106
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Model Building/BuildModel/components/Continuous/DecisionTreeRegression.jsx", "JavaScript JSX", 0, -91, -1, -6, -98
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Model Building/BuildModel/components/Continuous/LassoRegression.jsx", "JavaScript JSX", 0, -94, -1, -5, -100
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Model Building/BuildModel/components/Continuous/LinearRegression.jsx", "JavaScript JSX", 0, -61, -1, -4, -66
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Model Building/BuildModel/components/Continuous/RandomForestRegression.jsx", "JavaScript JSX", 0, -180, -1, -7, -188
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Model Building/BuildModel/components/Continuous/RidgeRegression.jsx", "JavaScript JSX", 0, -91, -1, -5, -97
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Model Building/BuildModel/components/Continuous/SupportVectorRegressor.jsx", "JavaScript JSX", 0, -70, -1, -6, -77
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Model Building/ModelEvaluation/ModelEvaluation.jsx", "JavaScript JSX", 0, -78, 0, -4, -82
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Model Building/ModelPrediction/ModelPrediction.jsx", "JavaScript JSX", 0, -73, -1, -4, -78
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Model Building/SplitDataset/SplitDataset.jsx", "JavaScript JSX", 0, -199, 0, -7, -206
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/TimeSeriesAnalysis/TimeSeriesAnalysis.jsx", "JavaScript JSX", 0, -226, -1, -12, -239
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Layout.jsx", "JavaScript JSX", 0, 0, 0, 1, 1
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/CustomNodes/ChartNode/ChartNode.jsx", "JavaScript JSX", 0, 67, 1, 5, 73
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/CustomNodes/EDANode/EDANode.jsx", "JavaScript JSX", 0, 57, 0, 6, 63
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/CustomNodes/TableNode/TableNode.jsx", "JavaScript JSX", 0, 83, 1, 7, 91
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/CustomNodes/UploadFile/UploadFile.jsx", "JavaScript JSX", 0, 91, 0, 13, 104
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/UpdateNodes/UpdateEDANode/UpdateEDANode.jsx", "JavaScript JSX", 0, 142, 0, 8, 150
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/UpdateNodes/UpdateEDANode/plots/BarPlot.jsx", "JavaScript JSX", 0, 119, 0, 6, 125
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/UpdateNodes/UpdateEDANode/plots/BoxPlot.jsx", "JavaScript JSX", 0, 62, 3, 4, 69
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/UpdateNodes/UpdateEDANode/plots/CountPlot.jsx", "JavaScript JSX", 0, 56, 2, 5, 63
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/UpdateNodes/UpdateEDANode/plots/CustomPlot.jsx", "JavaScript JSX", 0, 27, 3, 3, 33
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/UpdateNodes/UpdateEDANode/plots/Histogram.jsx", "JavaScript JSX", 0, 136, 3, 7, 146
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/UpdateNodes/UpdateEDANode/plots/LinePlot.jsx", "JavaScript JSX", 0, 68, 4, 4, 76
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/UpdateNodes/UpdateEDANode/plots/PiePlot.jsx", "JavaScript JSX", 0, 81, 1, 5, 87
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/UpdateNodes/UpdateEDANode/plots/RegPlot.jsx", "JavaScript JSX", 0, 56, 2, 5, 63
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/UpdateNodes/UpdateEDANode/plots/ScatterPlot.jsx", "JavaScript JSX", 0, 55, 3, 5, 63
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/UpdateNodes/UpdateEDANode/plots/ViolinPlot.jsx", "JavaScript JSX", 0, 66, 3, 5, 74
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/components/Sidebar/Sidebar.jsx", "JavaScript JSX", 0, 252, 33, 5, 290
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Pages/Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 1, 1
