"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "XML", "comment", "blank", "total"
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/UpdateNodes/UpdateEDANode/plots/BarPlot.jsx", "JavaScript JSX", 0, 119, 0, 0, 0, 6, 125
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/UpdateNodes/UpdateEDANode/plots/BoxPlot.jsx", "JavaScript JSX", 0, 62, 0, 0, 3, 4, 69
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/UpdateNodes/UpdateEDANode/plots/CountPlot.jsx", "JavaScript JSX", 0, 56, 0, 0, 2, 5, 63
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/UpdateNodes/UpdateEDANode/plots/CustomPlot.jsx", "JavaScript JSX", 0, 27, 0, 0, 3, 3, 33
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/UpdateNodes/UpdateEDANode/plots/Histogram.jsx", "JavaScript JSX", 0, 136, 0, 0, 3, 7, 146
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/UpdateNodes/UpdateEDANode/plots/LinePlot.jsx", "JavaScript JSX", 0, 68, 0, 0, 4, 4, 76
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/UpdateNodes/UpdateEDANode/plots/PiePlot.jsx", "JavaScript JSX", 0, 81, 0, 0, 1, 5, 87
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/UpdateNodes/UpdateEDANode/plots/RegPlot.jsx", "JavaScript JSX", 0, 56, 0, 0, 2, 5, 63
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/UpdateNodes/UpdateEDANode/plots/ScatterPlot.jsx", "JavaScript JSX", 0, 55, 0, 0, 3, 5, 63
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/UpdateNodes/UpdateEDANode/plots/ViolinPlot.jsx", "JavaScript JSX", 0, 66, 0, 0, 3, 5, 74
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/components/Sidebar/Sidebar.jsx", "JavaScript JSX", 0, 252, 0, 0, 33, 5, 290
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Pages/Dashboard.jsx", "JavaScript JSX", 0, 21, 0, 0, 0, 5, 26
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Pages/EditorPage.jsx", "JavaScript JSX", 0, 194, 0, 0, 4, 25, 223
